序号,提交答卷时间,1、如果您在主观题中留下了精彩见解，并希望在最终报告中获得署名，请留下您的常用网名/代号（留空则视为自愿以‘匿名受访者’身份参与开源共享）：[___________],2、你的学校是全称是？,3、(1)你的入学年份及就读专业是什么？___,3、(2)年入学，专业为___,3、(3)，你的性別是___？,4、你的培养层次是？,5、学校地理位置和实际分配校区情况—你所就读的学校的办学地点是,5、你实际被分配的校区是,6、学校转专业容易吗？（可选）,7、导师管理风格与组内学术氛围如何？,8、实验室与工位硬件条件如何？,9、研究生的补助与福利待遇大概在什么水平？,10、是否存在“异地研究院/分院/校外基地”联培情况？生存现状如何？（没有请跳过）,11、宿舍的床位结构是怎样的？,12、教室和宿舍有空调吗？,13、宿舍有独立卫浴吗？,14、每天会断电断网吗？,15、宿舍的限电功率是多少？会没收违禁电器吗 / 查违章电器严不严？宿舍允许挂隐私床帘 / 遮光窗帘吗？（可选）,16、大一刚入学允许带电脑吗？,17、晚上宿舍会查寝或封寝吗？,18、食堂的价格与卫生质量如何？（可选）,19、校园网的收费和网络质量如何？带宽多大 ？（不用校园网则跳过）,20、校园内用什么卡消费？,21、学校的快递收发政策怎么样？（可选）,22、校园内超市的物价和服务怎么样？,23、学校允许点外卖吗？,24、校园内可以骑私家电瓶车吗？,25、校内共享单车的数量与种类如何？,26、学校周边的交通便利度如何？,27、日常考勤管理严格吗？,28、每学期跑步打卡的要求是多少公里？（可选，没有请跳过）,29、寒暑假一般放多久？有小学期吗？有的话是多长？,30、自习资源和图书馆体验如何？,31、🤔💬 自由补充
317,2026/9/20 20:32:53,匿名受访者,湖北大学知行学院,2023-09,计算机,男,本科〖大四〗,湖北-武汉市-江岸区,主校区,(空),(跳过),(跳过),(跳过),(跳过),六人间,教室有┋宿舍有,有独卫┋有独浴,(空),(空),允许带电脑,既严格查寝又按时封寝〖不回得和导员沟通〗,还行,质量还行，100mb/s,微信或支付宝直刷,快递点不远,物价正常（与校外基本持平）┋种类正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,可以自由骑行和充电〖不知道，没骑过〗,校内完全没有共享单车,一般，需要坐公交车转乘地铁〖地铁很近，但是学校位置有点偏〗,有晨跑/早起签到/早操/升旗要求〖大一有升旗，不过频率很低〗,名存实亡，没跑也没见什么后果,寒假一个多月暑假两个多月，算是比较长的,有图书馆，不过没怎么去过,(空)
318,2026/9/21 9:41:45,匿名受访者,西安医学院,2026-09,临床,（不愿透露）,本科〖大一〗,陕西-西安市-未央区,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),六人间〖三连桌〗,教室有┋宿舍有,有独卫〖还有独立洗漱台，洗澡堂离宿舍不远，热水从早到晚都有〗,断电〖十一点多，空调电不断〗,300W，查寝不严，能挂帘,允许带电脑,只封寝不查寝〖晚十一点封寝〗,价格比外面便宜一点，味道尚可，卫生质量暂时没有发现问题,(空),实体校园卡┋微信或支付宝直刷,菜鸟驿站就在宿舍区，具体远近，看你是哪栋楼了，下班晚上七点,物价正常（与校外基本持平）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿,可以自由骑行和充电〖不清楚，没必要骑，学校不大〗,车很多且种类丰富，很好骑,一般，需要坐公交车转乘地铁〖一小时〗,有强制晚自习〖大一吧，也分学院，有的没有晚自习〗,一学期55次，每次最低2公里，大一大二要跑，可以,正常收放假时间,图书馆挺大，有，在宿舍区,无，之后有的话再来补充，高考加油。
319,2026/9/21 16:41:57,匿名受访者（2026年填写）,中南民族大学,2024-09,医学信息工程,（不愿透露）,本科〖大三〗,湖北-武汉市-洪山区,北区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌〖北区全是，南区还有部分不是，上床下桌也有两床共用一个直梯的，翻新除外〗,教室有┋宿舍有,有独卫┋有独浴〖没翻新的顶喷旁就是蹲坑，卫生间小，翻新的宿舍比较豪华〗,断电〖周一到周五23:30断电断网，第二天早上恢复，周末节假日不断，其实这是好事，遇到神人就知道了〗┋断网〖23:30断网，流量可以用〗,限电500w左右，查电器看学院，一般收好就行了，床帘窗帘都可以装，最好大一就装上。,允许带电脑,偶尔查寝但不封寝,南区四食堂是清真食堂，北区食堂翻新后比较好吃，但是价格高了，南区一二食堂价格优惠，卫生都有人专门监察，挺好的,校园网最新升级为WIFI桥接形式，最多支持两个移动设备一个电脑设备，能用，打游戏有时候会突然卡一下，打游戏的话不推荐办,实体校园卡┋微信或支付宝直刷,校内设有菜鸟驿站，还有顺丰快递，邮政也可以发收,物价正常（与校外基本持平）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿〖校门口有货架和外卖柜〗,可以骑，但限制很多或需要办牌照〖有充电桩，教学楼下就有〗,车很多且种类丰富，很好骑,一般，需要坐公交车转乘地铁〖北区公交一站，大概五分钟，走路二十分钟〗,有晨跑/早起签到/早操/升旗要求〖有早签，看学院，早签关乎绩点，绩点评奖学金用，不在乎可以不签，有些学院和体育挂钩，最好问清辅导员，新生会有晚自习，只能说，别太老实〗,之前有，现在在整改，还没确定，之前是男:1.5km，女:1.2km，大一每学期打卡40次，每天只能打卡一次，大二大三每学期60次，之前都可以骑车刷,暑假一般七月到八月底九月初，寒假一月初到二月底,图书馆手机提前预约位置和时间，非期末周位置充足，自习可以找空教室,"其他学院不知，生医工期末50分斩杀线（高考生别觉得很简单，来了你就知道了，除非你真大佬，那我膜拜），没有补考，直接重修（最可恶），重修第一次不收学分费，学分一分一百块。
有开学考！！！记得应该是数学，高考一半难度，用于学科分班，a班绩点不扣，b班绩点0.9，在乎奖学金的尽量注意一下，别把高中知识都忘了。
还有，一定要善用ai，有些问题问ai就知道了，别被人骗了
学校使用企业微信，都是实名制，开学人多，判断条件就是让他打开企业微信，你企业微信能搜到他，就算被骗学校也能找到他"
320,2026/9/21 18:45:12,匿名受访者,浙江育英职业技术学院,2026-09,影视,（不愿透露）,大专〖大一〗,浙江-杭州市-钱塘区,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),六人间〖不是上床下桌宿舍很小〗,教室有〖两台〗┋宿舍有,有独卫┋有独浴〖厕所包含蹲坑洗漱台和淋浴，小还臭，只用帘子隔开来〗,断电〖11点〗┋断网〖11点〗,500w，不让装窗帘,允许带电脑,既严格查寝又按时封寝,便宜,一般吧,微信或支付宝直刷,挺近的,物价正常（与校外基本持平）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿〖公寓门口〗,可以骑，但限制很多或需要办牌照〖不清楚〗,数量较少，早高峰基本靠抢,极好，校门口或步行距离内有地铁站,有强制晚自习〖两小时晚自习〗┋有晨跑/早起签到/早操/升旗要求〖晨跑〗,不知道,不知道,不知道,(空)
321,2026/9/21 18:59:20,匿名受访者,三门峡社会管理职业学院,2026-09,旅游管理,（不愿透露）,大专〖大一〗,河南-三门峡市-灵宝市,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌〖两个上下铺，两个上床下桌桌桌〗┋六人间,宿舍有,有独卫〖宿舍楼内〗,(空),会，严，不允许,允许带电脑,既严格查寝又按时封寝〖需要向宿管说明情况〗,不提供,不可以,微信或支付宝直刷┋银行联名卡,基本上都可以发，在校外，早上不知道晚上8：40下班,物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,严禁学生骑行和停放私家电瓶车,校内完全没有共享单车,一般，需要坐公交车转乘地铁,有强制晚自习,(空),不知道,是,(空)
322,2026/9/22 9:04:29,匿名受访者,电子科技大学,2026-09,计算机,（不愿透露）,本科〖大一〗,四川-成都市-郫都区,主校区,(空),(跳过),(跳过),(跳过),(跳过),上床下桌〖上床部分改造后的寝室床宽只有80cm，很窄，且无法使用常规的90cm床上用品〗┋四人间,教室有┋宿舍有,有独卫┋有独浴〖干湿不分离〗,(空),不限，不严，查的时候放柜子里,表面不允许但带了也没人管,只封寝不查寝〖能回，登记即可，每周查寝一次，不严〗,小贵，味道一般，卫生还可以,教学区免费，宿舍区300M下行30M上行，有线无线均有，有IPv6，三大运营商自己选，39/月，限两台设备同时使用，锐捷Web认证,实体校园卡┋微信或支付宝直刷,菜鸟驿站，离宿舍比较远，晚上十点前都能拿,物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,可以自由骑行和充电〖有公用充电桩，但位置不多，要排队〗,数量较少，早高峰基本靠抢,一般，需要坐公交车转乘地铁〖郊区，不过周围吃的挺多的，到市中心得打半个小时〗,有强制早自习〖大一有，7:20到8:05，计院考勤严格〗,50km可慢速骑车,四五十天，无小学期,图书馆还可以，自习室没了解,"不同老师授课、要求、给分差距很大，一定要多关注各个群和学长的消息，选个好点的老师！！！课要抢且非常难抢，确保网络通畅，提前做好准备。
学校本身实力在那，也有很多硬核项目、比赛、组织，如果不介意设施有点老旧，人文关怀约等于0，氛围很卷，管理和制度有些“高中化”的话，可以来。"
323,2026/9/22 12:01:20,匿名受访者,闽南理工学院,2025-09,不愿透露,（不愿透露）,本科,福建-泉州市-石狮市,闽南理工学院宝盖校区,(空),(跳过),(跳过),(跳过),(跳过),上床下桌,教室有〖部分教室有〗┋宿舍有,有独卫┋有独浴,(空),当时入学的时候说寝室除空调之外其他的加起来不超过1800w。会没收。查的程度不清楚。可以挂窗帘,允许带电脑,偶尔查寝但不封寝,(空),现在什么路由器之类的其实都是潜规则，你装了好像也没有人说你什么,实体校园卡┋微信或支付宝直刷,(空),物价偏高（比校外贵不少）┋种类少,可以点，但只能去校门口/外卖柜/指定地点拿〖取决于你的宿舍楼〗,严禁学生骑行和停放私家电瓶车,数量较少，早高峰基本靠抢,一般，需要坐公交车转乘地铁,有强制晚自习〖大一有，不要当工贼呀，你不想上就都别上，别到时候就一两个不上，那很危险〗┋有晨跑/早起签到/早操/升旗要求〖偶尔升旗.我从导员那边听说外国语学院好像早上6:00要起来早读〗,有个新通知，说的是所有大学体育（一）也就是大一的学生在那个学期要跑44次，每次2公里，时间在8-20分钟，禁止使用代步工具,寒假四周，暑假八周，没有小学期,这个我不清楚,单及格制.还有教材费如果你正常上学没有退学休学的话他不让你退，理由是我们学校跟那些985不一样，还有说什么要保持正版和保持学习的连贯性，因为书每年或多或少会改版一点
324,2026/9/22 13:00:11,匿名受访者6666,昆玉职业技术学院,2025-09,农业,（不愿透露）,大专〖大二〗,新疆-昆玉市,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌〖有上床下桌也有上下铺〗┋六人间,教室有〖地冷地暖〗┋宿舍有〖地冷地暖〗,有独卫〖在宿舍〗┋有独浴〖在宿舍〗,断电〖夜里12点30半〗,会，偶尔，有,允许带电脑,偶尔查寝但不封寝,一般,(空),微信或支付宝直刷,邮政，挺近,物价偏高（比校外贵不少）┋物价正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿,可以骑，但限制很多或需要办牌照,校内完全没有共享单车,一般，需要坐公交车转乘地铁,有强制早自习〖无，但有早上第一节课〗,没有学期跑步打卡要求,2个月,无,(空)
325,2026/9/22 13:50:40,匿名受访者,湛江科技学院,2026-09,会计,（不愿透露）,本科〖1〗,广东-湛江市-麻章区,主校区,很容易（门槛低/通过率高）,(跳过),(跳过),(跳过),(跳过),上床下桌┋四人间〖听说四人间宿舍里的过道比较小〗┋六人间,教室有┋宿舍有,有独卫┋有独浴,(空),800,允许带电脑,只封寝不查寝〖能，要登记〗,还行,(空),手机虚拟校园码┋微信或支付宝直刷,都可以，看那个快递，快递站有两个集中的地方,物价偏高（比校外贵不少）┋物价正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,可以骑，但限制很多或需要办牌照〖楼下〗,车很多且种类丰富，很好骑,偏僻，进城单程需要一小时以上〖学校有去市区和旧校区的通勤车（免费）〗,有晨跑/早起签到/早操/升旗要求〖校园跑（一学期30次及格，50次满分），升旗好像是照轮的〗,男2.5，女2，可以,一两个月，没有,开到23点,(空)
326,2026/9/22 15:06:58,匿名受访者,杭州医学院,2026-08,康复治疗,男,本科,浙江-杭州市-临安区,临安校区,(空),(跳过),(跳过),(跳过),(跳过),六人间〖三联桌，喜欢互肘的来〗,教室有┋宿舍有,有独卫┋有独浴,(空),(空),允许带电脑,只封寝不查寝,贵，淡，江西人别来,办了个校园卡，不知道,手机虚拟校园码,远,物价偏高（比校外贵不少）┋种类少,允许，外卖员可以送至宿舍楼下,可以自由骑行和充电,校内完全没有共享单车,偏僻，进城单程需要一小时以上,有强制早自习┋有强制晚自习〖大一需要〗,100公里，每天限量，规定地点，不能用自行车,正常,晚上会封寝,滨江校区没了，现在本科都在临安上，在山里，交通不方便，小卖部商品种类少，杭州饮食味道偏淡，消费偏高，还有，别来学医，也别来杭医
